Distanza lente-PD (cm),Intensità segnale (V)
1,0.0234
2,0.0302
3,0.042
4,0.0672
4.5,0.0912
4.75,0.11
5,0.148
5.25,0.172
5.5,0.186
6,0.21
6.5,0.206
7,0.19
7.5,0.172
8,0.144
8.5,0.124
9,0.102
10,0.0728
11,0.0544
12,0.0416
13,0.032
